schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/openai,OpenAI,22,2026-09-07T09:16:03.449949Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/anthropic,Anthropic,39,2026-09-07T09:16:03.449975Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/cohere,Cohere,56,2026-09-07T09:16:03.449981Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/mistral-ai,Mistral AI,73,2026-09-07T09:16:03.449986Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/hugging-face,Hugging Face,90,2026-09-07T09:16:03.449991Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/scale-ai,Scale AI,107,2026-09-07T09:16:03.449995Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/perplexity,Perplexity,124,2026-09-07T09:16:03.449999Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/runway,Runway,141,2026-09-07T09:16:03.450003Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/character-ai,Character AI,158,2026-09-07T09:16:03.450007Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/stability-ai,Stability AI,175,2026-09-07T09:16:03.450012Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/elevenlabs,ElevenLabs,192,2026-09-07T09:16:03.450016Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/cursor,Cursor,209,2026-09-07T09:16:03.450020Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/replit,Replit,226,2026-09-07T09:16:03.450023Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/databricks,Databricks,243,2026-09-07T09:16:03.450027Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/snowflake,Snowflake,260,2026-09-07T09:16:03.450032Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/nvidia,NVIDIA,277,2026-09-07T09:16:03.450036Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/deepmind,DeepMind,294,2026-09-07T09:16:03.450040Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/xai,xAI,311,2026-09-07T09:16:03.450044Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/adept,Adept,328,2026-09-07T09:16:03.450048Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/inflection,Inflection,345,2026-09-07T09:16:03.450051Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/jasper,Jasper,362,2026-09-07T09:16:03.450055Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/glean,Glean,379,2026-09-07T09:16:03.450058Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/harvey,Harvey,396,2026-09-07T09:16:03.450062Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/pika,Pika,413,2026-09-07T09:16:03.450065Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/suno,Suno,430,2026-09-07T09:16:03.450068Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/together-ai,Together AI,447,2026-09-07T09:16:03.450072Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/groq,Groq,464,2026-09-07T09:16:03.450076Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/replicate,Replicate,481,2026-09-07T09:16:03.450080Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/weights---biases,Weights & Biases,498,2026-09-07T09:16:03.450085Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/langchain,LangChain,515,2026-09-07T09:16:03.450089Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/luma-ai,Luma AI,532,2026-09-07T09:16:03.450092Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/figure-ai,Figure AI,549,2026-09-07T09:16:03.450096Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/anduril,Anduril,566,2026-09-07T09:16:03.450101Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/wayve,Wayve,583,2026-09-07T09:16:03.450104Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/abridge,Abridge,600,2026-09-07T09:16:03.450108Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/insitro,Insitro,617,2026-09-07T09:16:03.450111Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/nscale,Nscale,634,2026-09-07T09:16:03.450115Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/vanta,Vanta,651,2026-09-07T09:16:03.450118Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/pinecone,Pinecone,668,2026-09-07T09:16:03.450122Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/modal,Modal,685,2026-09-07T09:16:03.450125Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/baseten,Baseten,702,2026-09-07T09:16:03.450129Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/writer,Writer,719,2026-09-07T09:16:03.450133Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/tome,Tome,736,2026-09-07T09:16:03.450137Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/descript,Descript,753,2026-09-07T09:16:03.450140Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/assemblyai,AssemblyAI,770,2026-09-07T09:16:03.450144Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/deepl,DeepL,787,2026-09-07T09:16:03.450148Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/sakana-ai,Sakana AI,804,2026-09-07T09:16:03.450548Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/thinking-machines,Thinking Machines,821,2026-09-07T09:16:03.450560Z
1.0,STARTUP,FrontierAtlas directory fixture,https://www.crunchbase.com/organization/poolside,Poolside,838,2026-09-07T09:16:03.450566Z
